Time	Channel A	Channel B
(s)	(mV)	(V)

0.95650005	3.56456200	2.01757900
0.95700005	3.56456200	2.01757900
0.95750005	3.56456200	2.01757900
0.95800005	3.56456200	2.01757900
0.95850005	3.56456200	2.01757900
0.95900005	3.56456200	2.01757900
0.95950005	3.56456200	2.01757900
0.96000005	3.56456200	2.01757900
0.96050005	3.56456200	2.01757900
0.96100005	3.56456200	2.01757900
0.96150005	3.56456200	2.01757900
0.96200005	3.11746600	2.01757900
0.96250005	3.56456200	2.01757900
0.96300005	3.56456200	2.01757900
0.96350005	3.56456200	2.01757900
0.96400005	3.56456200	2.01757900
0.96450005	3.56456200	2.01757900
0.96500005	3.11746600	2.01757900
0.96550005	3.56456200	2.01757900
0.96600005	3.56456200	2.01757900
0.96650005	3.56456200	2.01757900
0.96700005	3.56456200	2.01757900
0.96750005	3.56456200	2.01757900
0.96800005	3.56456200	2.01757900
0.96850005	3.56456200	2.01757900
0.96900005	3.56456200	2.01757900
0.96950005	3.56456200	2.01757900
0.97000005	3.56456200	2.01757900
0.97050005	3.11746600	2.01757900
0.97100005	3.56456200	2.01757900
0.97150005	3.11746600	2.01757900
0.97200005	3.56456200	2.01757900
0.97250005	3.56456200	2.01757900
0.97300005	3.56456200	2.01757900
0.97350005	3.56456200	2.01757900
0.97400005	3.56456200	2.01757900
0.97450005	3.56456200	2.01757900
0.97500005	3.56456200	2.01757900
0.97550005	3.56456200	2.01757900
0.97600005	3.56456200	2.01757900
0.97650005	3.56456200	2.01757900
0.97700005	3.11746600	2.06198300
0.97750005	3.56456200	2.01757900
0.97800005	3.56456200	2.01757900
0.97850005	3.11746600	2.01757900
0.97900005	3.56456200	2.01757900
0.97950005	3.56456200	2.01757900
0.98000005	3.56456200	2.01757900
0.98050005	3.56456200	2.01757900
0.98100005	3.56456200	2.01757900
0.98150005	3.56456200	2.01757900
0.98200005	3.56456200	2.01757900
0.98250005	3.56456200	2.01757900
0.98300005	3.56456200	2.01757900
0.98350005	3.56456200	2.01757900
0.98400005	3.11746600	2.01757900
0.98450005	3.11746600	2.01757900
0.98500005	3.56456200	2.01757900
0.98550005	3.56456200	2.01757900
0.98600005	3.56456200	2.01757900
0.98650005	3.56456200	2.01757900
0.98700005	3.56456200	2.01757900
0.98750005	3.56456200	2.01757900
0.98800005	3.56456200	2.01757900
0.98850005	3.56456200	2.01757900
0.98900005	3.56456200	2.01757900
0.98950005	3.56456200	2.01757900
0.99000005	3.11746600	2.01757900
0.99050005	3.56456200	2.01757900
0.99100005	3.56456200	2.01757900
0.99150005	3.56456200	2.01757900
0.99200005	3.11746600	2.01757900
0.99250005	3.56456200	2.01757900
0.99300005	3.56456200	2.01757900
0.99350005	3.56456200	2.01757900
0.99400005	3.56456200	2.01757900
0.99450005	3.56456200	2.01757900
0.99500005	3.56456200	2.01757900
0.99550005	3.56456200	2.01757900
0.99600005	3.56456200	2.01757900
0.99650005	3.56456200	2.01757900
0.99700005	3.56456200	2.01757900
0.99750005	3.56456200	2.01757900
0.99800005	3.56456200	2.01757900
0.99850005	3.11746600	2.01757900
0.99900005	3.56456200	2.01757900
0.99950005	3.56456200	2.01757900
1.00000005	3.56456200	2.01757900
1.00050005	3.56456200	2.01757900
1.00100005	3.56456200	2.01757900
1.00150005	3.56456200	2.01757900
1.00200005	3.56456200	2.01757900
1.00250005	3.56456200	2.01757900
1.00300005	3.56456200	2.01757900
1.00350005	3.56456200	2.01757900
1.00400005	3.56456200	2.01757900
1.00450005	3.56456200	2.01757900
1.00500005	3.56456200	2.01757900
1.00550005	3.56456200	2.01757900
1.00600005	3.56456200	2.01757900
1.00650005	3.11746600	2.01757900
1.00700005	3.56456200	2.01757900
1.00750005	3.56456200	2.01757900
1.00800005	3.56456200	2.01757900
1.00850005	3.56456200	2.01757900
1.00900005	3.56456200	2.01757900
1.00950005	3.56456200	2.01757900
1.01000005	3.11746600	2.01757900
1.01050005	3.56456200	2.01757900
1.01100005	3.56456200	2.01757900
1.01150005	3.56456200	2.01757900
1.01200005	3.56456200	2.01757900
1.01250005	3.56456200	2.01757900
1.01300005	3.56456200	2.01757900
1.01350005	3.56456200	2.01757900
1.01400005	3.56456200	2.01757900
1.01450005	3.11746600	2.01757900
1.01500005	3.56456200	2.01757900
1.01550005	3.56456200	2.01757900
1.01600005	3.56456200	2.01757900
1.01650005	3.56456200	2.01757900
1.01700005	3.56456200	2.01757900
1.01750005	3.56456200	2.01757900
1.01800005	3.11746600	2.01757900
1.01850005	3.56456200	2.01757900
1.01900005	3.56456200	2.01757900
1.01950005	3.56456200	2.01757900
1.02000005	3.56456200	2.01757900
1.02050005	3.56456200	2.01757900
1.02100005	3.11746600	2.01757900
1.02150005	3.56456200	2.01757900
1.02200005	3.56456200	2.01757900
1.02250005	3.56456200	2.01757900
1.02300005	3.56456200	2.01757900
1.02350005	3.56456200	2.01757900
1.02400005	3.56456200	2.01757900
1.02450005	3.56456200	2.01757900
1.02500005	3.56456200	2.01757900
1.02550005	3.56456200	2.01757900
1.02600005	3.56456200	2.01757900
1.02650005	3.56456200	2.01757900
1.02700005	3.56456200	2.01757900
1.02750005	3.56456200	2.01757900
1.02800005	3.56456200	2.01757900
1.02850005	3.56456200	2.01757900
1.02900005	3.56456200	2.01757900
1.02950005	3.11746600	2.01757900
1.03000005	3.56456200	2.01757900
1.03050005	3.56456200	2.01757900
1.03100005	3.56456200	2.01757900
1.03150005	3.56456200	2.01757900
1.03200005	3.11746600	2.01757900
1.03250005	3.56456200	2.01757900
1.03300005	3.56456200	2.01757900
1.03350005	3.56456200	2.01757900
1.03400005	3.56456200	2.01757900
1.03450005	3.56456200	2.01757900
1.03500005	3.56456200	2.01757900
1.03550005	3.56456200	2.01757900
1.03600005	3.11746600	2.01757900
1.03650005	3.56456200	2.01757900
1.03700005	3.11746600	2.01757900
1.03750005	3.56456200	2.01757900
1.03800005	3.11746600	2.01757900
1.03850005	3.56456200	2.01757900
1.03900005	3.56456200	2.01757900
1.03950005	3.56456200	2.01757900
1.04000005	3.56456200	2.01757900
1.04050005	3.11746600	2.01757900
1.04100005	3.56456200	2.01757900
1.04150005	3.56456200	2.01757900
1.04200005	3.56456200	2.01757900
1.04250005	3.56456200	2.01757900
1.04300005	3.56456200	2.01757900
1.04350005	3.56456200	2.01757900
1.04400005	3.56456200	2.01757900
1.04450005	3.56456200	2.01757900
1.04500005	3.56456200	2.01757900
1.04550005	3.56456200	2.01757900
1.04600005	3.56456200	2.01757900
1.04650005	3.56456200	2.01757900
1.04700005	3.11746600	2.01757900
1.04750005	3.56456200	2.01757900
1.04800005	3.11746600	2.01757900
1.04850005	3.56456200	2.01757900
1.04900005	3.56456200	2.01757900
1.04950005	3.56456200	2.01757900
1.05000005	3.56456200	2.01757900
1.05050005	3.56456200	2.01757900
1.05100005	3.56456200	2.01757900
1.05150005	3.11746600	2.01757900
1.05200005	3.56456200	2.01757900
1.05250005	3.56456200	2.01757900
1.05300005	3.11746600	2.01757900
1.05350005	3.56456200	2.01757900
1.05400005	3.56456200	2.01757900
1.05450005	3.56456200	2.01757900
1.05500005	3.56456200	2.01757900
1.05550005	3.56456200	2.01757900
1.05600005	3.56456200	2.06198300
1.05650005	3.56456200	2.01757900
1.05700005	3.56456200	2.01757900
1.05750005	3.56456200	2.01757900
1.05800005	3.56456200	2.01757900
1.05850005	3.56456200	2.01757900
1.05900005	3.56456200	2.01757900
1.05950005	3.56456200	2.01757900
1.06000005	3.56456200	2.01757900
1.06050005	3.11746600	2.01757900
1.06100005	3.56456200	2.01757900
1.06150005	3.56456200	2.01757900
1.06200005	3.56456200	2.01757900
1.06250005	3.11746600	2.01757900
1.06300005	3.56456200	2.01757900
1.06350005	3.56456200	2.01757900
1.06400005	3.56456200	2.01757900
1.06450005	3.11746600	2.01757900
1.06500005	3.56456200	2.01757900
1.06550005	3.56456200	2.01757900
1.06600005	3.11746600	2.01757900
1.06650005	3.56456200	2.01757900
1.06700005	3.56456200	2.01757900
1.06750005	3.56456200	2.01757900
1.06800005	3.11746600	2.01757900
1.06850005	3.56456200	2.01757900
1.06900005	3.56456200	2.01757900
1.06950005	3.56456200	2.01757900
1.07000005	3.56456200	2.01757900
1.07050005	3.56456200	2.01757900
1.07100005	3.11746600	2.01757900
1.07150005	3.56456200	2.01757900
1.07200005	3.11746600	2.01757900
1.07250005	3.56456200	2.01757900
1.07300005	3.56456200	2.01757900
1.07350005	3.56456200	2.01757900
1.07400005	3.56456200	2.01757900
1.07450005	3.56456200	2.01757900
1.07500005	3.56456200	2.01757900
1.07550005	3.56456200	2.01757900
1.07600005	3.56456200	2.01757900
1.07650005	3.56456200	2.01757900
1.07700005	3.56456200	2.01757900
1.07750005	3.56456200	2.01757900
1.07800005	3.56456200	2.01757900
1.07850005	3.56456200	2.01757900
1.07900005	3.56456200	2.01757900
1.07950005	3.56456200	2.01757900
1.08000005	3.56456200	2.01757900
1.08050005	3.56456200	2.01757900
1.08100005	3.56456200	2.01757900
1.08150005	3.56456200	2.01757900
1.08200005	3.11746600	2.01757900
1.08250005	3.56456200	2.01757900
1.08300005	3.56456200	2.01757900
1.08350005	3.56456200	2.01757900
1.08400005	3.56456200	2.01757900
1.08450005	3.56456200	2.01757900
1.08500005	3.56456200	2.01757900
1.08550005	3.56456200	2.01757900
1.08600005	3.56456200	2.01757900
1.08650005	3.56456200	2.01757900
1.08700005	3.56456200	2.01757900
1.08750005	3.56456200	2.01757900
1.08800005	3.11746600	2.01757900
1.08850005	3.56456200	2.01757900
1.08900005	3.56456200	2.01757900
1.08950005	3.56456200	2.01757900
1.09000005	3.56456200	2.01757900
1.09050005	3.56456200	2.01757900
1.09100005	3.56456200	2.01757900
1.09150005	3.56456200	2.01757900
1.09200005	3.56456200	2.01757900
1.09250005	3.56456200	2.01757900
1.09300005	3.56456200	2.01757900
1.09350005	3.56456200	2.01757900
1.09400005	3.56456200	2.01757900
1.09450005	3.56456200	2.01757900
1.09500005	3.56456200	2.01757900
1.09550005	3.56456200	2.01757900
1.09600005	3.56456200	2.01757900
